126	1.2
1.049952	0.944858	1.318458
1A2K_r_u.pdb	26.338	6.499	84.701
1A2K_l_u.pdb	60.790	-1.940	74.599
0.785398	0.080730	-2.622036	0	124	101	1154.321
2.356194	0.619654	-2.216909	23	116	113	1142.889
1.047198	2.478122	2.609777	123	112	24	1129.918
0.523599	2.299159	2.264663	123	116	27	1101.960
2.094395	0.203748	0.590255	118	115	103	1096.534
1.832596	1.904882	-1.478089	3	110	105	1090.934
2.879793	0.619654	-2.216909	119	113	102	1054.031
-2.356194	1.836682	-0.676006	122	116	101	1053.460
2.879793	0.866395	-2.492918	27	119	117	1048.870
2.879793	1.374601	-2.456031	27	118	120	1046.249
-2.617994	1.732874	-0.951685	2	1	100	1040.777
-1.047198	0.615174	-0.666022	117	107	104	1037.870
-1.308997	0.290380	-0.796960	125	116	102	1024.659
-3.141593	1.756530	-2.105156	28	121	117	1012.239
2.094395	2.637879	2.121598	12	123	27	1007.619
-1.570796	0.571433	-1.188419	123	109	104	1001.574
1.570796	1.662363	0.915448	113	6	102	1000.673
-3.141593	0.640596	-2.797608	27	120	118	1000.107
-2.094395	1.335669	0.897240	28	1	118	990.319
0.785398	1.696674	-1.253233	2	112	103	987.837
0.523599	0.961715	0.014085	0	111	100	984.919
0.000000	1.662363	0.915448	103	110	124	982.607
2.094395	1.683268	0.374177	118	109	103	982.410
-2.617994	1.982574	-1.115518	0	116	103	980.294
0.000000	1.391910	3.030322	109	1	21	977.279
-2.094395	1.195355	1.200319	28	2	114	975.290
-2.356194	1.417623	-0.202254	119	113	100	972.927
-1.047198	2.001437	0.381215	13	6	27	968.379
1.570796	2.664082	-1.071402	121	107	103	966.872
-2.356194	1.721184	-0.153948	116	112	100	966.596
0.523599	2.760637	2.781135	0	114	103	963.920
0.785398	2.478122	2.609777	121	113	24	960.648
-2.356194	1.909857	-0.381669	120	111	101	960.479
1.047198	0.960688	-0.577532	123	107	101	956.903
-2.617994	1.617114	-1.572037	27	123	111	956.328
-0.261799	1.998705	2.370472	113	105	108	956.027
1.570796	1.875281	0.107086	120	107	102	955.364
-2.094395	1.721184	-0.153948	118	111	100	954.639
-1.832596	0.910508	1.903534	26	124	115	953.769
-2.879793	1.335669	0.897240	103	6	10	953.460
1.047198	1.875281	0.107086	107	23	13	952.691
-2.879793	0.379747	-1.713059	121	104	105	951.751
-1.308997	0.960688	-0.577532	122	109	102	951.646
